u,Authors,Year,Title,Source,Volume, Issue,Abstract,DOI,Notes,Reviewer,Population,Exposure,Outcome,Meets inclusion criteria,Reasons for exclusion,Year(s) of study,Geographic location,Latitude,Longitude,Habitat description,Bird species,Size,Proportion diet,Life stage,Food measurement,Insect sampling method,Type of prey,Comparator / control group,Effect calculable?,ES_ID
1455,"Lin, Shi-Mei (linsm198@163.com) and Li, Fa-Jian and Yuangsoi, Bundit and Doolgindachbaporn, Sompong",2018,"Effect of dietary phospholipid levels on growth, lipid metabolism, and antioxidative status of juvenile hybrid snakehead (Channa argus x Channa maculata)",Fish Physiology and Biochemistry,44,1,"The study was conducted to evaluate the effect of dietary phospholipids (PLs) on growth, lipid metabolism, and antioxidative status of hybrid snakehead (Channa argus x Channa maculata). Five isonitrogenous and isolipidic diets with graded levels of PLs (8.5, 19.3, 30.7, 41.5, and 50.8 g kg-1) were fed to triplicate groups of juveniles (initial body weight 12.6 [plus or minus] 0.23 g) for 8 weeks. Results showed that dietary PL supplementation significantly improved growth of juveniles. The final body weight (FBW) and specific growth rate (SGR) significantly increased with dietary PLs increasing from 8.5 to 41.5 g kg-1 (P < 0.05). Fish fed with the diet containing 8.5 g kg-1 PLs showed higher feed conversion ratio (FCR) compared to the other treatments (P < 0.05). Survival rate (SR) was not affected by dietary PL levels (P > 0.05). Liver lipid contents, serum triglyceride (TG), and low-density lipoprotein cholesterol (LDL-C) contents significantly decreased with the increasing levels of dietary PLs (P < 0.05). However, serum total cholesterol (TC) and high-density lipoprotein cholesterol (HDL-C) contents and HDL-C/TC and HDL-C/LDL-C value significantly increased with increasing dietary PL levels (P < 0.05). The catalase (CAT), superoxide dismutase (SOD), and carnitine palmitoyl transferase I (CPT-1) activities in the liver significantly increased with incremental dietary PL level (P < 0.05), while the liver malondialdehyde (MDA) contents and fatty acid synthase (FAS) activity significantly reduced (P < 0.05). No significant difference was observed in the glutathione peroxidase (GPx) activity among dietary treatments (P > 0.05).These results confirmed that dietary PL supplementation has beneficial effects on growth performance and antioxidant capacity of juvenile hybrid snakehead. Dietary PLs might reduce lipid deposition in the liver of juvenile hybrid snakehead.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1456,"Frafjord, K. (karlf@tmu.uit.no)",2004,"The arctic fox in Tajmyr, Russia",Fauna (Oslo),56,3,"Tajmyr is the northernmost part of mainland Russia, projecting into the Arctic Ocean. It has a large population of arctic foxes Alopex lagopus, which are hunted intensively. This paper is an abstract and recalculation of the results from three recent Russian publications (KRYLOV 1989, KUKSOV 1989, KOKOREV AND KUKSOV 2002) that describe various aspects of the arctic fox population in Tajmyr during 1960-2001. The foxes fed mainly on lemmings and had population cycles similar to those of their prey. The proportion of occupied fox dens was related to the lemming-index, being ten times larger in years of high lemming abundance (on average 49.8 %, vs. 4.4 % when lemming abundance was low). Maximum 81 % of the dens were occupied in any given year. The arctic fox had fairly regular 3-4 years population cycles. No significant variation with time was found (1960-1999), but den occupancy was relatively high in the 1970ies. The cycle was divided into four phases; increase, high, decrease and low. The mean litter size in these phases varied by 1.73 pups, and was 6.66 pups during the phase when most litters were born (high). Hunting appears to have had little influence on the arctic fox population, except in years when the population was low and food was limited. Most foxes killed were either very young or old. Large migrations of foxes appear to have been common, and ""empty"" areas may have had an influx of foxes when food conditions improved. Younger foxes were thus supposed to have replaced old residents, implying that the killing of older foxes had little effect on the population increase. The number of foxes killed varied between 1 000 and 34 000, comprising 4-43 % of the population. The mean total population size (in November) in Tajmyr was estimated to be 102 000, 177 000, 35 000 and 18 000 foxes in the increase, high, decrease and low phases, respectively. A total of 2 600 dens were examined, and the total number of dens was estimated to be 57 000, the density varying between 0.04 and 0.22 dens/km2. The methods are however poorly described and it is not possible to evaluate the reliability of most of these estimates. However, it is clear that the arctic fox population in Tajmyr was very large, considering both the size of the region, the density of dens and the number of foxes trapped each year. This must be the result of a relatively high primary productivity and high lemming abundance, despite the arctic characteristics of the region. A lack of red foxes Vulpes vulpes may also explain the large arctic fox population. In Fennoscandia the density of arctic fox dens is estimated to be comparatively low, but they are large and possibly larger than those in Tajmyr.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1457,Zhong Wei and Mu Linlin and Han Feifei and Zhang Xinyu and Du Dongsheng and Li Guangyu (zhongwei8015@163.com),2020,"Effects of Feeding Level on Growth Performance, Serum Biochemical Parameters and Body Energy Deposition of Male Arctic Foxes during the Growth Period",Acta Veterinaria et Zootechnica Sinica,51,3,"This experiment was conducted to study the effect of feeding level on growth performance, serum biochemical parameters and body energy deposition of Arctic foxes during the growth period. Forty-six 85-day-old healthy male Arctic foxes with average body weight of(3 198[plus or minus]281) g were selected, including 6 Arctic foxes as slaughter trial control at the beginning of the trial, another 40 Arctic foxes randomly divided into 4 groups with 10 replicates per group and 1 fox per replicate. The foxes were offered diet for ad libitum (AL) (Group I), 80% (IR 80) (Group II), 60% (IR60) (Group III) and 40% (IR 40) (Group IV) of adlibitum intake, respectively. The experiment was 7 days for adaption and 55 days for trial period. The parameters of growth performance, serum biochemical parameters and body energy deposition were evaluated by means of feeding, serological and slaughter trials and chemical analysis methods. The results showed as follows : 1) 100-day-old body weight in group IV was extremely significantly lower than those in group I and II (P<0. 01), and no significant difference was found between group IV and III (P> 0.05). Body weight at the age of 115,130,145 days and average daily gain(ADG) in group IV were extremely significantly lower than those in the other groups(P<0. 01),whereas no significant difference was detected among the three groups (P>0. 05). With the decrease of feeding level, average dry matter intake (ADFI) showed a extremely significant decrease trend (P< 0.01). Feed to gain ratio (F/G) in group III was extremely significantly lower than those in group I and II(P<0. 01), whereas no significant difference was found in F/G between group III and IV(P>0. 05). 2) Serum glucose(GLU) in group IV was obviously higher than that in group III(P<0. 05), whereas no significant difference was found among group I, II and IV(P>0. 05). Serum CHO and LDL-C in group IV were extremely significantly higher than those in the other groups(P<0. 05). Serum TP and ALB in group IV were significantly higher than those in group I and III (P<0. 05), whereas no significant difference was found between group II and IV (P> 0. 05). There were no significant effects on serum TG, HDL-C, GLOB, IgA, IgM,IgG,C3, C4 and INS contents within different feed intake levels(P>0. 05). 3) With the decrease of feeding level, pelt fat deposition and its energy deposition had significantly decreased trend, which was significantly higher in group I and II than those in group III and IV (P>0. 05). Carcass weight gain in group IV was extremely significantly lower than that in the other groups (P<0. 01), whereas no significant difference was found among group I, II and III(P>0. 05). There were no significant effects on the pelt protein deposition and its energy deposition, carcass fat deposition and its energy deposition, carcass protein deposition and its energy deposition as well as total energy deposition of carcass fed different feed intake levels(P>0. 05). Feeding 60% of ad libitum intake (IR60) reduces the contents of serum GLU and lipid parameters, ensures the normal growth and health state of body, improves the feed efficiency, thus increases the benefit of breeding production of Arctic fox during the growth period.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1458,"Schew, William A. and McNabb, F.M. Anne and Scanes, Colin G.",1996,"Comparison of the ontogenesis of thyroid hormones, growth hormone, and insulin-like growth factor-1 in ad libitum and food-restricted (altricial) European starlings and (precocial) Japanese quail",General and Comparative Endocrinology,101,3,"In this study, we compare the ontogenic patterns for thyroid hormones, growth hormone (GH), and insulin-like growth factor-I (IGF-I) in altricial European starlings and precocial Japanese quail and examine the effects of feed restriction on these species. The most marked difference in development between the altricial and precocial birds was with respect to plasma thyroid hormone patterns. In the starling, circulating concentrations of triiodothyronine (T-3) and thyroxine (T-4) were very low in embryos, then increased progressively after hatching to peak at 10-11 days of age. In contrast, in quail, in which other studies have shown that most thyroid maturation occurs during the embryonic and perihatch periods, the circulating concentrations of T-3 and T-4 showed little posthatch ontogenic change. Plasma concentrations of both GH and IGF-I showed similar patterns in both species with a posthatch rise (peak at 3 days in starlings and 8 days in quail), followed by a decline. Food restriction to maintain body weight resulted in decreased plasma concentrations of T-3 and IGF-I in both species. After return to ad libitum feeding, plasma T-3 and IGF-I increased in both early and late restricted starlings and in late restricted quail. Although both species responded to food restriction with similar patterns of endocrine change, age-related differences in the magnitude of hormonal responses were observed.",10.1006/gcen.1996.0033,,JME,No,,,No,captive feeding experiment,,,,,,,,,,,,,,,
1459,"Green, J.A. (jon.green@latrobe.edu.au) and Boyd, I.L. and Woakes, A.J. and Green, C.J. and Butler, P.J.",2007,"Feeding, fasting and foraging success during chick rearing in macaroni penguins",Marine Ecology Progress Series,346,NA,"Foraging behaviour and energy expenditure were measured continuously throughout the chick-rearing period of free-ranging macaroni penguins Eudyptes chrysolophus. These data were integrated with values obtained from the literature on body mass, assimilation efficiency, body reserve consumption and deposition rates, chick growth and energy expenditure and energy content of food in a new type of algorithm to predict (with 95% confidence limits (CL)) foraging success and daily changes in body mass. A successfully breeding pair of macaroni penguins will capture 111.7 kg (95% CL: 79.4 to 158.0 kg) of prey during the chick-rearing period. The crucial phase of the chick rearing period was around the time that chicks creche, when prey consumption rates more than doubled as the male assisted in foraging and recovered from a long fast. Female macaroni penguins extracted 2.28 (1.60 to 3.26) and males extracted 2.84 (2.02 to 3.99) g of prey from their environment for every minute spent submerged during foraging. Only 15.3 (14.7 to 15.6)% of all prey consumed was fed to chicks. While food capture rates increase in the middle of the breeding season, this may be more a function of greater food availability than a response to demands from their chick. Male and female macaroni penguins have differing breeding strategies with the male showing the characteristics of a capital then income breeder while the female has a strategy that shows characteristics of both capital and income strategies simultaneously. The high synchronicity and precise timing of the macaroni penguin breeding season and timing of the increase in prey capture rates suggest an influx of prey to their foraging area during the middle of the breeding season. A depletion of prey resources in the foraging area used during the breeding season could affect foraging success and have profound effects on the body condition and composition of this species and its ability to raise chicks successfully.",10.3354/meps07024,,JRY,No,,,No,,,,,,,,,,,,,,,,
1460,"Sanders, Heather N. and Hewitt, David G. and Perotto-Baldivieso, Humberto L. and VerCauteren, Kurt C. and Snow, Nathan P. (Nathan.P.Snow@usda.gov)",2020,Invasive Wild Pigs as Primary Nest Predators for Wild Turkeys,Scientific Reports,10,1,"Depredation of wild turkey (Meleagris gallopavo) nests is a leading cause of reduced recruitment for the recovering and iconic game species. Invasive wild pigs (Sus scrofa) are known to depredate nests, and have been expanding throughout the distributed range of wild turkeys in North America. We sought to gain better insight on the magnitude of wild pigs depredating wild turkey nests. We constructed simulated wild turkey nests throughout the home ranges of 20 GPS-collared wild pigs to evaluate nest depredation relative to three periods within the nesting season (i.e., early, peak, and late) and two nest densities (moderate = 12.5-25 nests/km2, high = 25-50 nests/km2) in south-central Texas, USA during March-June 2016. Overall, the estimated probability of nest depredation by wild pigs was 0.3, equivalent to native species of nest predators in the study area (e.g., gray fox (Urocyon cinereoargenteus), raccoon (Procyon lotor), and coyote (Canis latrans)). Female wild pigs exhibited a constant rate of depredation regardless of nesting period or density of nests. However, male wild pigs increased their rate of depredation in areas with higher nest densities. Management efforts should remove wild pigs to reduce nest failure in wild turkey populations especially where recruitment is low.",NA,,JRY,Phasianidae,No,,No,Predation,,,,,,,,,,,,,,,
1461,"Landa, Arild (arild.landa@nina.no) and Flagstad, Oystein and Areskoug, Veronika and Linnell, John D.C. and Strand, Olav and Ulvund, Kristine Roaldsnes and Thierry, Anne-Mathilde and Rod-Eriksen, Lars and Eide, Nina E.",2017,The endangered Arctic fox in Norway-the failure and success of captive breeding and reintroduction,Polar Research,36,NA,"The Arctic fox (Vulpes lagopus L.) is listed as extinct in Finland, endangered in Sweden and critically endangered in Norway. Around 2000 there were only 40-60 adult individuals left, prompting the implementation of conservation actions, including a captive breeding programme founded from wild-caught pups. The initial breeding trials failed, probably because of stress among captive animals, and the programme was radically changed in 2005. Eight large enclosures within the species' historical natural habitat were established, which had the positive effect of all pairs breeding in 2007. As of 2015, 385 pups (yearly average 37) were produced. In this ongoing programme, pups are released the winter (January-February) following their birth and have had an average first-year survival of 0.44. The release sites are prepared with artificial dens and a network of supplementary food dispensers, designed to work exclusively for the Arctic fox. After just four to seven years of releases, populations have been effectively re-established in three mountain areas where the species had been locally extinct. One of the newly re-established populations has become the largest population in Norway. Several other populations, including Swedish ones, have benefited considerably from successful immigration of released foxes. The number of wild-born pups that are descendants of released foxes has likely exceeded 600, and in 2014 50% of all free-living breeding pairs in mainland Norway included released foxes or their descendants. The Norwegian Arctic fox captive breeding programme has proven to be an important conservation action for the recovery of the Scandinavian Arctic fox population.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1462,"Emilia Fernandez, Maria and Carla Labaque, Maria (mefernandez@conicet.gov.ar) and Orso, Gabriel and Hector Marin, Raul and Melissa Kembro, Jackelyn",2021,Short- and long-term dynamics of the physiological and behavioral response to heat stress and thymol supplementation in Japanese quail,Journal of Thermal Biology,97,NA,"Organisms have evolved endogenous timing systems that enable them to predict temporal changes and to coordinate complex internal processes. However, temporal dynamics of biological responses are most often ignored in fields such as dietary supplementation of farm animals exposed to artificial environmental challenges. Herein, we hypothesized that the potential for thymol (2-isopropyl-5-methylphenol) to alleviate physiological and behavioral consequences of heat stress is time-dependent on both long-term (i.e. weeks) and short-term (i.e. within day) time scales. First, during 3-weeks adult female Japanese quail (Coturnix japonica) were exposed daily to 9h of increased environmental temperature (34.2 [plus or minus] 0.1 [degree]C). Controls remained at standard temperatures (23.6 [plus or minus] 0.1 [degree]C). Simultaneously, half received thymol dietary supplementation and the other half a control basal diet. On day 4, both thymol and heat stress decreased body weight and feed intake respect to controls (basal, standard temperature). After three weeks, feed intake recovered for thymol groups. Therefore, we performed a second experiment focused on the critical first week of treatment, sampling variables three times a day. The beneficial effects of thymol supplementation were mainly observed during the morning, including prevention of high respiratory rates and reduction in the weight of droppings induced by heat stress, and increased walking under both temperatures. In summary, thymol's potential for alleviating heat stress consequences is timedependent, and can be conceived as an emergent property resulting from the complex interplay between the dynamics of the biological response to thymol and heat stress. Findings highlight the importance of considering time-related factors when developing supplementation protocols to mitigate environmental challenges.",NA,,JME,Phasianidae,No,,No,heat stress; captive experiment,,,,,,,,,,,,,,,
1463,"Porter, W.F. and Tangen, R.D. and Nelson, G.C. and Hamilton, D.A.",1980,Effects of corn food plots on wild turkeys in the Upper Mississippi Valley,Journal of Wildlife Management,44,2,"The hypothesis that corn food plots enhance overwinter survival of wild turkeys (M. gallopavo) was examined in southeastern Minnesota. Two distinct populations of wild turkeys were studied during winter, one occupying an area where corn food plots were present and one in an area where they were not. Data were recorded for 328 birds captured and 154 that were radio-tagged. Five parameters were examined: activity patterns, home range size, habitata use, body weight and survival. No differences in weight or survival were evident between the 2 populations during a winter of little deep snow. During a winter with persistent deep snow, birds relying on natural food resources showed substantial weight losses (P < 0.05) and mortality exceeded 60%. Birds using corn showed no weight loss and mortality was less than 10% of the population.",10.2307/3807977,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1464,"Shilyaeva, L.M.",1985,[The arctic fox. Northern Yakutia.],"[Arctic fox, fox, racoon dog. Distribution of stocks, ecology use and and preservation.].",NA,NA,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1465,"Jorgensen, E. and Blix, A.S.",1985,Effects of climate and nutrition on growth and survival of willow ptarmigan chicks,Ornis Scandinavica,16,2,"Effects of ambient temperature (Ta), and food availability and quality on growth and survival of Willow Ptarmigan chicks Lagopus l. lagopus were investigated in the laboratory. Under standard food conditions, growth increased with increasing Ta. Onlya persisting sub-zero Ta affected survival. Because of changes in the chicks' behaviour a 67% reduction of food availability did not affect their growth and survival. When food was available only 22% of the time, however, all chicks died within 5 d after hatching, irrespective of Ta. Even small reductions in food quality strongly affected growth and survival. Food intake was always correlated with body weight, irrespective of age, Ta, and food quality. These results indicate that young ptarmigan chicks are unable to compensate for increased energy expenditure and reduced food quality with increased food intake. Therefore the availability of high quality food seems to be crucial for their growth and survival, while low ambient temperatures per se seem to be of little consequence.",10.2307/3676474,,JME,Phasianidae,No,,No,captive feeding experiment; commercial feed,,,,,,,,,,,,,,,
1466,Li Qin-Lei and Liu Xiang and Zhang Ning and Xia Jing-Yi and Zheng Xue-Li and Xia Ji-Gang (466787451@qq.com),2022,INTERSPECIFIC DIFFERENCES IN THE PERSONALITIES OF TWO ECOLOGICALLY RELATED PREY FISH AND THE EFFECTS OF THEIR PREDATOR,Acta Hydrobiologica Sinica,46,6,"Personality refers to the persistent and consistent behavioral differences among individuals in a population under different spatio-temporal conditions. Predator-prey interactions are common in nature, and predation environment is the main driving force for the evolution of prey phenotypes (e.g. personalities). To investigate interspecific differences in the personalities of prey fish species and the effects of their predator, Channa argus was used as the predator, Rhodeus ocellatus and Pseudorasbora parva, which usually form mixed populations in nature, were used as the prey fish in this study. The prey fish were exposed to predator treatment or no predator treatment for one month, using the common garden experiment. Subsequently, the personalities, including exploration, activity and boldness of two prey fish species were measured, and the interspecific differences of different personalities and their environmental dependence were analyzed. The results showed that: (1) There were significant interspecific differences in personality between the two prey fish species. The exploration, activity and boldness of R. ocellatus were significantly stronger than those of the P. parva, regardless of whether they had undergone predator treatment or not (P<0.05). (2) Predator experience led to enhanced exploration and boldness of two prey fish species but had no significant effect on the activity of both (P>0.05). (3) Predator attenuated the interspecific differences of different personalities between two prey fish species and strengthened the coupling of their individual different personalities. The results suggested that the personalities of the prey fish have significant differences between species and both have a predator effect. Predator experience leads to the decrease of interspecific differences in the personalities of the two prey fish species, showing a trend of convergent adaptation.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1467,"Jakubas, Walter J. and Karasov, William H. and Guglielmo, Christopher G.",1993,Ruffed grouse tolerance and biotransformation of the plant secondary metabolite coniferyl benzoate,Condor,95,3,"Ruffed Grouse (Bonasa umbellus) consumption of quaking aspen (Populus tremuloides) flower buds is determined, in part, by the concentration of coniferyl benzoate (CB) in the bud. Understanding the physiological effects of this compound may clarify whether the association between annual fluctuations in CB and Ruffed Grouse population levels has a cause/effect relationship. We determined the maximum level of dietary CB that Ruffed Grouse can tolerate by feeding captive grouse a formulated diet treated with eight concentrations of CB. Loss of body mass was used to indicate toxicity. Biotransformation products from CB were identified in order to determine the detoxication mechanisms employed and the presence of potentially toxic CB metabolites. Ruffed Grouse will consume up to 2 g kg-1 day-1 of CB before rapid mass loss ensues. High dietary levels of CB were associated with. decreased food intake and increased water excretion. Serum uric acid, aspartate aminotransferase, and alanine aminotransferase levels did not change significantly with increased levels of dietary CB. Mass loss that was associated with a CB intake of 2.3 g kg-1 day-1 could be explained by decreased food intake but could not be attributed to any specific toxic effect. It is uncertain whether the decreased food consumption that occurred at high CB intake levels was prompted by toxicity avoidance or decreased food palatability. Ruffed Grouse appear to use glucuronic acid, sulfate, and ornithine conjugation, along with hydrolysis, reduction, and oxygenation reactions, when detoxifying CB. Nine biotransformation products were identified, including ferulic acid and 4-vinylguaiacol. The latter compounds are known to interfere with reproduction in other animals.",10.2307/1369606,,JME,Phasianidae,No,,No,captive plant feeding experiment,,,,,,,,,,,,,,,
1468,"Argudin-Violante, Cristina (C.Argudin-Violante@soton.ac.uk) and Middleton, Owen S. and Slater, Kathy Y. and Dominguez-Bonilla, Esteban and Doncaster, C. Patrick",2023,"Neo-tropical felid activity patterns in relation to potential prey and intraguild competitors in the Calakmul Biosphere Reserve, Mexico",Biotropica,55,5,"Predator behaviors influence, and are influenced by, prey and competitor behaviors. Jaguars (Panthera onca), pumas (Puma concolor), and ocelots (Leopardus pardalis) coexist throughout their geographic range as the three largest predators in a multi-predator community across diverse environments. This study tested for non-random segregation and overlap in the activity patterns of these felids and their shared prey in the southern buffer zone of the Calakmul Biosphere Reserve, in southern Mexico, using camera traps during February to August 2019. We detected little temporal segregation between the nocturnal activities of jaguars, pumas, and ocelots, although pumas were more active closer to dawn. Jaguars had low activity overlap with species likely to be common prey, whereas ocelots had high overlap with their potential prey. Pumas displayed finer-scale similarities in activity with species likely to be common prey. In an understudied area of conservation importance, this study shows that temporal segregation is an unlikely mechanism of coexistence. Further research should incorporate spatio-temporal avoidance and dietary differences to improve our understanding of the mechanisms that drive coexistence between generalist species in a diverse assemblage of threatened felids.Abstract in Spanish is available with online material.",NA,,JME,No,,,No,predator,,,,,,,,,,,,,,,
1469,"Vali, Ulo and Laansalu, Arne",2002,"Numbers, reproductive success and diet of raptors and owls in Harjanurme, Tartu County, in 1992-2001",Hirundo,15,1,"Breeding numbers, reproductive success and diet of raptors and owls were studied since 1992 in Harjanurme study area (100 sq. km.), east-central Estonia (58[degree]20'N, 26[degree]25'E). Mosaic agricultural landscape (57%) dominates in the plot; forests cover 22.5%, flood plains 12.5%, mires and water bodies both 3.5%. Breeding territories of raptors and owls were mapped according to their territorial behaviour, repeated observations, nests or fledglings. Reproductive success was estimated with standard methods (e.g. L5hmus et al. 1997). General diet composition of Buteo buteo, Strix aluco and Asia otus was determined from pellets and prey remains, but insects and bird feathers were excluded from material (birds were initially classified only as non-passerines and passerines). For Accipiter gentilis we used equally bones and feathers. Diets were described by diet width DW = l/[SIGMA]pi2 and diet overlap 0 = [SIGMA]pijpik / [tick] [SIGMA]pij2 [SIGMA]pik2 where pi, is the share of prey species i in the diet, and j and k are raptor species. Altogether, 13 species (7 Accipitriformes, 2 falcons and 4 owls) were found as breeders (Table 1). The total annual number of breeding territories was 30-55 (mean 44). Species of cultural landscape were most numerous, but also high numbers of Circus aeruginosus were characteristic. Accipiter gentilis and Falco tinnunculus disappeared as breeders during the study. A white morph individual of Buteo buteo bred in the area throughout the study period. Circus cyaneus, Pandion haliaeetus, Haliaeetus albicilla were recorded as vagrants, Buteo lagopus was seen in spring migration. Reproductive success of five species is summarized in Table 2. In Buteo buteo, productivity (p<0.001) and number of fledglings per successful nest (p<0.001) varied annually but were generally similar to the average values in Estonia. Out of four species studied, diet of Strix aluco contained the highest numbers of different prey species but diet width was greatest in Buteo buteo (Table 3). Diets of Buteo buteo and Asia otus overlapped by 70%, the diets of Buteo buteo and Strix aluco by 58%, but the diets of the two owl species by only 31%. Accipiter gentilis fed only upon birds (Table 4). Mean body mass of avian prey was different in Strix aluco (65 g), Buteo buteo (158 g) and Accipiter gentilis (375 g; p<0,0001).",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1470,"Thompson, I.D. and Colgan, P.W.",1987,Numerical responses of martens to a food shortage in northcentral Ontario,Journal of Wildlife Management,51,4,"Numerical responses of martens (Martes americana) to a synchronous decline of most prey species were studied from 1980 to 1985. Main prey species included snowshoe hare (Lepus americanus), red squirrels (Tamiasciurus hudsonicus), southern red-backed voles (Clethrionomys gapperi), deer mice (Peromyscus maniculatus), and ruffed grous (Bonasa umbellus). Populations of these prey species were high in 1980-81 and substantially reduced from 1982 to 1985 except ruffed grouse, which were abundant in 1984-85. Responses of martens included reduced population density, enlarged home ranges, lower ovulation rates in females aged 1 and 2 years, reduced production of young, dispersal of formerly resident adults during the 2nd year of scarce food, and cannibalism. Dispersal of residents resulted in an unexpectedly high trapping success in 1983, suggesting that fur returns do not reflect changing population levels for marten. Male body weights did not differ among years but females weighed more in early winter of scarce food years compared to the same period when food was abundant (P .ltoreq. 0.01). Less mesenteric and renal fat was found on all martens during the 1st winter of scarce food (P .ltoreq. 0.001). We believe that a reservoir strategy for marten management can be an effective tool, but when food is low managers must account for larger home ranges and possible dispersal of residents by reducing harvest quotas.",10.2307/3801748,,JRY,No,,,No,,,,,,,,,,,,,,,,
1471,"Mathews, Steven R. and Coates, Peter S. and Prochazka, Brian G. and Ricca, Mark A. and Meyerpeter, Mary B. and Espinosa, Shawn P. and Lisius, Sherri and Gardner, Scott C. and Delehanty, David J.",2018,"An Integrated Population Model for Greater Sage-Grouse (Centrocercus urophasianus) in the Bi-State Distinct Population Segment, California and Nevada, 2003-17",U S Geological Survey Open-File Report,1177,NA,"The Bi-State Distinct Population Segment (DPS) of greater sage-grouse (Centrocercus urophasianus, hereinafter ""sage-grouse"") occupies parts of Alpine, Mono, and Inyo Counties in California, and parts of Douglas, Esmeralda, Lyon, Carson City, and Mineral Counties in Nevada and was proposed for listing as threatened under the Endangered Species Act (ESA) by the U.S. Fish and Wildlife Service (USFWS) in October 2013. In April 2015, the USFWS determined that the Bi-State DPS did not warrant listing under the ESA, but monitoring continued for assessment of long-term population stability (U.S. Fish and Wildlife Service, 2015a). Threats to this population include geographic isolation, expansion of single-leaf pinyon (Pinus monophylla) and Utah juniper (Juniperus osteosperma), anthropogenic activities, changes in historical wildfire cycles and the conversion of native shrubs to invasive annual grasslands, and recent changes in predator communities. As part of a broad long-term monitoring program, we used an integrated population model to estimate finite rate of population change ([lambda]) of each subpopulation within the Bi-State DPS from 2003 to 2017. Since 2012, the Bi-State DPS experienced multiple years of drought conditions associated with periods of population decline across multiple populations. The 14-year average ([lambda]) for the Bi-State DPS is 0.98 (95 percent CRI=0.70-1.31). Three subpopulations (Mount Grant, Fales, Bodie Hills) showed continued evidence of stability and growth as the average [lambda], exceeded 1.0. Moreover, we implemented the first year of an experimental pre-nesting female and brood translocation program to bolster a critically low population of sage-grouse in Parker Meadows, California. Finally, we report summary statistics describing sage-grouse movements and relative abundance of avian predators across all years of the study.",NA,,JME,Phasianidae,,,No,population modeling,,,,,,,,,,,,,,,
1472,"Frafjord, Karl",1994,Growth rates and energy demands in captive juvenile arctic foxes Alopex lagopus in Svalbard,Polar Biology,14,5,"Four arctic fox Alopex lagopus pups (two males and two females) were caught at dens when about 25-53 days old and kept in outdoor pens at Ny-Alesund, Svalbard. Their growth in body size (as measured by the length of a front foot), increase in weight, and food consumption were monitored from July to December, 1987. The pups grew rapidly and reached 97.5 +- 0.1% of their maximum adult size when they were 99-127 days old. Increase in body weight took longer (130 days). Food consumption generally increased until about 90 days old, after which it was highly variable. Pups consumed on average 266 kcal kg-1 day-1 growing 34 g/day until 95 days old. Subsequently, until about 200 days old, they consumed 202 kcal kg-1 day-1 and grew 6.8 g/day.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1473,"Zhao, Jin-Ming and Fang, Yun and Lou, Ying-Qiang and Swenson, Jon E. and Sun, Yue-Hua (sunyh@ioz.ac.cn)",2018,Brood rearing has an immediate survival cost for female Chinese Grouse Tetrastes sewerzowi,Journal of Ornithology,159,4,"Reproductive activities can incur various costs to breeding individuals in birds. One cost is that reproduction decreases survival probabilities of attendant individuals, which may have a major effect on population demography. During brood rearing, adults of precocial species usually make extensive movements to lead their young to sites with adequate food resources and dense cover. However, few studies have evaluated the effects of brood movement on attendant precocial adults. In this study, we tracked female Chinese Grouse during brood-rearing periods using radiotelemetry at Lianhuashan Nature Reserve, Gansu, China, during 2010-2012, to evaluate the effects of brood rearing and movement distances on females' survival probabilities using known fate models in program MARK. All 41 females attempted to breed, and 30 females successfully hatched at least one chick; 11 failed during the incubation period. Although females with broods moved more extensively than females without broods, movement distances did not influence survival probabilities of attendant females. Seven females with broods were killed by predators, resulting in a lower survival probability (0.958 [plus or minus] 0.016 weekly survival and 0.679 [plus or minus] 0.099 through the 9-weeks brood-rearing periods) than for females without broods, which all survived the brood-rearing periods. Our results agree with the prediction of life history theory, which assumes that cost must correlate with reproduction. The extensive movement patterns found in this study might reflect a lack of suitable brood-rearing habitat near nest sites, which might be detrimental to chick survival and influence the persistence of this population.",NA,,JME,Phasianidae,,,No,movement distance; predator,,,,,,,,,,,,,,,
